date,open,high,low,close,volume
2021-12-31,145.54,146.37,144.68,144.68,17298000
2022-01-03,144.48,145.55,143.50,145.07,25214000
2022-01-04,145.55,146.61,143.82,144.42,22928000
2022-01-05,144.18,144.30,137.52,137.65,49642000
2022-01-06,137.50,139.69,136.76,137.55,29050000
2022-01-07,137.90,138.25,135.79,137.00,19408000
2022-01-10,135.10,138.64,133.14,138.57,34096000
2022-01-11,138.18,140.33,136.81,140.02,23502000
2022-01-12,141.55,142.81,141.11,141.65,23642000
2022-01-13,141.84,143.19,138.91,139.13,26566000
2022-01-14,137.50,141.20,137.50,139.79,23826000
2022-01-18,136.60,137.39,135.62,136.29,27382000
2022-01-19,136.94,138.40,135.50,135.65,20796000
2022-01-20,136.51,137.91,133.14,133.51,21930000
2022-01-21,133.01,134.76,130.00,130.09,41920000
2022-01-24,126.03,130.78,124.64,130.37,55148000
2022-01-25,128.44,129.34,126.38,126.74,36008000
2022-01-26,130.59,132.81,127.15,129.24,39630000
2022-01-27,131.36,132.61,128.95,129.12,30248000
2022-01-28,130.00,133.37,128.69,133.29,30518000
2022-01-31,134.20,135.84,132.27,135.70,34056000
2022-02-01,137.84,138.20,134.57,137.88,51204000
2022-02-02,151.86,152.10,145.56,148.04,89750000
2022-02-03,145.29,149.12,142.21,142.65,56930000
2022-02-04,143.02,144.54,139.82,143.02,49224000
2022-02-07,143.71,143.85,138.70,138.94,44610000
2022-02-08,138.99,139.84,136.87,139.21,34256000
2022-02-09,140.85,142.18,140.38,141.45,28628000
2022-02-10,139.50,141.43,138.05,138.60,33018000
2022-02-11,138.75,139.28,133.29,134.13,38808000
2022-02-14,133.37,136.17,133.30,135.30,26792000
2022-02-15,137.47,137.90,135.54,136.43,26578000
2022-02-16,136.43,137.95,134.82,137.49,25610000
2022-02-17,136.15,136.84,132.20,132.31,30968000
2022-02-18,133.04,133.82,130.31,130.47,31858000
2022-02-22,129.99,131.90,127.74,129.40,38906000
2022-02-23,131.08,131.75,127.50,127.58,26432000
2022-02-24,125.00,133.04,124.76,132.67,43166000
2022-02-25,133.53,135.39,131.76,134.52,26236000
2022-02-28,133.28,135.64,132.83,134.89,29676000
2022-03-01,134.48,136.11,133.38,134.17,24640000
2022-03-02,134.61,135.62,133.43,134.75,23966000
2022-03-03,135.98,136.71,133.43,134.31,19780000
2022-03-04,133.38,134.20,130.41,132.12,24446000
2022-03-07,131.90,131.90,126.41,126.46,39178000
2022-03-08,126.25,131.25,125.86,127.28,35250000
2022-03-09,131.40,134.20,130.09,133.87,32258000
2022-03-10,131.46,133.54,131.40,132.68,24266000
2022-03-11,134.00,134.20,130.30,130.48,26600000
2022-03-14,130.57,131.03,126.41,126.74,30254000
2022-03-15,127.74,130.52,126.57,129.66,30292000
2022-03-16,131.00,133.77,129.20,133.69,32058000
2022-03-17,133.32,134.74,132.72,134.60,23994000
2022-03-18,133.88,136.91,132.93,136.80,45900000
2022-03-21,136.85,137.58,134.61,136.48,26632000
2022-03-22,136.50,141.50,136.50,140.28,29776000
2022-03-23,139.14,140.02,138.17,138.50,25302000
2022-03-24,139.27,141.40,138.04,141.31,20544000
2022-03-25,141.75,141.96,139.70,141.52,19270000
2022-03-28,140.68,141.98,139.83,141.95,23774000
2022-03-29,143.16,144.16,142.48,143.25,28678000
2022-03-30,142.87,143.48,142.17,142.64,21046000
2022-03-31,142.45,142.64,139.62,139.65,29516000
2022-04-01,140.01,140.95,138.80,140.70,23480000
2022-04-04,140.82,144.04,140.82,143.64,19076000
2022-04-05,143.40,143.59,140.94,141.06,19256000
2022-04-06,139.16,139.85,136.42,137.18,23574000
2022-04-07,136.62,137.70,134.86,136.46,19448000
2022-04-08,136.25,136.25,133.75,134.01,16434000
2022-04-11,132.90,132.94,129.62,129.80,24188000
2022-04-12,132.42,132.42,127.58,128.37,23004000
2022-04-13,128.63,130.66,128.44,130.29,19542000
2022-04-14,130.65,130.71,127.11,127.25,23484000
2022-04-18,127.41,128.71,126.58,127.96,14918000
2022-04-19,128.08,130.90,127.45,130.53,22720000
2022-04-20,131.28,131.92,127.89,128.25,22610000
2022-04-21,129.35,130.31,124.65,124.94,30158000
2022-04-22,125.00,125.45,119.14,119.61,46410000
2022-04-25,119.43,123.28,118.77,123.25,34522000
2022-04-26,122.75,122.75,119.16,119.51,49394000
2022-04-27,114.37,117.50,113.12,115.02,62238000
2022-04-28,117.11,120.44,115.14,119.41,36790000
2022-04-29,117.58,118.96,114.69,114.97,33694000
2022-05-02,113.91,117.34,113.40,117.16,30280000
2022-05-03,116.76,119.30,116.63,118.13,21216000
2022-05-04,118.00,123.14,115.74,122.57,33232000
